record,date,DATE2,WEIGHT,QS1,HIDWARD,area,QS2,QS3,HIDAGE1,Q1r1,Q1r2,Q2,Q11_Lr1r1,Q11_Lr1r2,Q11_Lr1r3,Q11_Lr1r4,Q11_Lr1r5,Q11_Lr1r6,Q11_Lr1r7,Q11_Lr1r8,Q11_Lr2r1,Q11_Lr2r2,Q11_Lr2r3,Q11_Lr2r4,Q11_Lr2r5,Q11_Lr2r6,Q11_Lr2r7,Q11_Lr2r8,Q11_Lr3r1,Q11_Lr3r2,Q11_Lr3r3,Q11_Lr3r4,Q11_Lr3r5,Q11_Lr3r6,Q11_Lr3r7,Q11_Lr3r8,Q11_Lr4r1,Q11_Lr4r2,Q11_Lr4r3,Q11_Lr4r4,Q11_Lr4r5,Q11_Lr4r6,Q11_Lr4r7,Q11_Lr4r8,Q11_Lr5r1,Q11_Lr5r2,Q11_Lr5r3,Q11_Lr5r4,Q11_Lr5r5,Q11_Lr5r6,Q11_Lr5r7,Q11_Lr5r8,Q11_Lr6r1,Q11_Lr6r2,Q11_Lr6r3,Q11_Lr6r4,Q11_Lr6r5,Q11_Lr6r6,Q11_Lr6r7,Q11_Lr6r8,Q11_Lr7r1,Q11_Lr7r2,Q11_Lr7r3,Q11_Lr7r4,Q11_Lr7r5,Q11_Lr7r6,Q11_Lr7r7,Q11_Lr7r8,Q11_Lr8r1,Q11_Lr8r2,Q11_Lr8r3,Q11_Lr8r4,Q11_Lr8r5,Q11_Lr8r6,Q11_Lr8r7,Q11_Lr8r8,Q11_Lr9r1,Q11_Lr9r2,Q11_Lr9r3,Q11_Lr9r4,Q11_Lr9r5,Q11_Lr9r6,Q11_Lr9r7,Q11_Lr9r8,Q12r1,Q12r2,Q12r3,Q12r4,Q12r5,Q12r6,Q12_R1,Q12r6oe,Q13r1,Q13r2,Q13r3,Q13r4,Q13r5,Q13r6,Q13r7,Q13r8,Q13r9,Q13r10,Q13r11,Q13_R1,Q13r10oe,QD1,QD1_R1,D1r5oe,QD2,QD3r1,noanswerD3_r99,QD4r1,noanswerD4_r99,QD5,QD6,vdecLang
19,10 10 2018 17 52,10,0.869644,M9R,Ward 4,Etobicoke,Man,1942,76,Extremely concerned,Very concerned,Not very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,Somewhat motivating,Not very motivating,Somewhat motivating,Somewhat motivating,Verymotivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,High school or less, 100 001 to  150 000,English (USA)
25,10 10 2018 18 27,10,0.732199,M9w,Ward 2,Etobicoke,Woman,1977,41,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Not very motivating,Verymotivating,Verymotivating,Not at all motivating,Incentives  infrastructure and support to increase the use of sustainable transportation methods like cycling ,It is hard to think about getting an electric vehicle because in many buildings underground parking doesn't have a place to charge them,Toronto.ca website,City of Toronto events,NO TO  Twitter,Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Townhouse row house, ,,Rent,4,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Some community college  vocational  trade school, 60 001 to  80 000,English (USA)
26,10 10 2018 18 31,10,1.035387,M5A,Ward 21,Toronto Centre,Man,1951,67,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Not very motivating,Not very motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,Prefer not to answer,English (USA)
27,10 10 2018 18 38,10,0.956471,M5N,Ward 14,Eglinton-Lawrence,Woman,1948,70,Very concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Not at all motivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Other,Help for seniors who are t bangs,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 60 001 to  80 000,English (USA)
29,10 10 2018 19 26,10,0.971962,m6m,Ward 12,York South-Weston,Woman,1949,69,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Somewhat motivating,Verymotivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,High school or less, 40 001 to  60 000,English (USA)
30,10 10 2018 19 33,10,0.795624,M4L,Ward 37,Beaches-East York,Man,1986,32,Extremely concerned,Extremely concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
31,10 10 2018 19 36,10,0.732199,m9w,Ward 2,Etobicoke,Woman,1991,27,Very concerned,Very concerned,Not very informed,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,Somewhat motivating,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,DK NA,dd,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Semi-detached house   duplex, ,,Rent, ,How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed community college  vocational  trade school, 80 001 to  100 000,English (USA)
32,10 10 2018 19 48,10,0.897943,m6j,Ward 18,Davenport,Woman,1990,28,Not very concerned,Extremely concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,NO TO  Toronto.ca website,City of Toronto events,NO TO  Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
33,10 10 2018 19 33,10,0.743604,m2j,Ward 31,Don Valley North,Woman,1969,49,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,NO TO  City of Toronto e-newsletters   email,Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Prefer not to say,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 80 001 to  100 000,English (USA)
36,10 10 2018 20 49,10,0.641285,m3j,Ward 8,Humber River-Black Creek,Man,1955,63,Very concerned,Extremely concerned,Very informed,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Somewhat motivating,Verymotivating,Verymotivating, , ,,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Single-family detached house, ,,Own,3,NO TO  How many people  including yourself  live in your household?  Prefer not to say,1,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree,Prefer not to answer,English (USA)
37,10 10 2018 21 32,10,0.677169,M1V,Ward 43,Scarborough,Man,1975,43,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 100 001 to  150 000,English (USA)
39,10 11 2018 10 52,11,0.897943,m6j,Ward 19,Spadina-Fort York,Woman,1982,36,Extremely concerned,Extremely concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating, , ,,Toronto.ca website,NO TO  City of Toronto events,Twitter,Facebook,Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school,More than  150 000,English (USA)
40,10 10 2018 21 54,10,0.629881,m9c,Ward 3,Etobicoke,Man,1984,34,Extremely concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Not very motivating,Somewhat motivating,Somewhat motivating,Verymotivating,DK NA,N A,Toronto.ca website,NO TO  City of Toronto events,NO TO  Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,NO TO  Councillor communications,NO TO  Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Own,1,NO TO  How many people  including yourself  live in your household?  Prefer not to say, ,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 100 001 to  150 000,English (USA)
41,10 10 2018 22 02,10,0.924839,M5e,Ward 21,Spadina-Fort York,Woman,1963,55,Very concerned,Very concerned,Extremely informed, , , , , , , , , , , , , , , , , , , , , , , , ,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,NO TO  This is not available for me to do,NO TO  This is not convenient for me to do,I’m not interested in making this change,NO TO  Other,NO TO  I don’t know much about this it’s confusing,NO TO  I don’t think my individual actions for this will make a difference,NO TO  I don’t believe this is effective for addressing climate change,NO TO  This is too expensive for me,This is not available for me to do,NO TO  This is not convenient for me to do,NO TO  I’m not interested in making this change,NO TO  Other, , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Verymotivating,Verymotivating,Verymotivating,Verymotivating, , ,,NO TO  Toronto.ca website,City of Toronto events,Twitter,NO TO  Facebook,NO TO  Instagram,City of Toronto e-newsletters   email,Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Completed undergraduate degree, 80 001 to  100 000,English (USA)
42,10 10 2018 22 05,10,0.61439,M6A,Ward 13,Eglinton-Lawrence,Man,1992,26,Very concerned,Very concerned,Very informed, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Verymotivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Somewhat motivating,Streamlining recycling compost programs,Segregation,NO TO  Toronto.ca website,City of Toronto events,Twitter,NO TO  Facebook,Instagram,NO TO  City of Toronto e-newsletters   email,NO TO  Councillor communications,Advertising campaigns (e.g.  print  radio  online or television ads  transit ads  street signage  etc.),NO TO  Brochures  pamphlets,NO TO  Other (please specify),NO TO  Not interested in receiving information, ,,Multi-unit residence (apartment  condominium building), ,,Rent,2,NO TO  How many people  including yourself  live in your household?  Prefer not to say,0,NO TO  How many children under 18 are currently living in your household?  Prefer not to say.,Post graduate professional school, 40 001 to  60 000,English (USA)
